run_dir,task,variant,correction,label,seed,wandb_url,status,refresh_count,final_step,final_accuracy,final_loss,final_f1,wall_clock_sec,fallback_rate_last,p_mean_last,weight_mean_last,weight_max_last,weight_clipped_frac_last
runs/full_sweep_20260627_1504/rte_label_aware_lgd_none_seed0_20260627_151134,rte,label_aware_lgd,none,label-aware LGD,0,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/9ll6nfzw,finished,3,234,0.5342960288808665,1.4445917150173806,0.37681159420289856,73.64784574508667,0.0,0.000601535741014562,1.0,1.0,0.0
runs/full_sweep_20260627_1504/rte_label_aware_lgd_none_seed1_20260627_151334,rte,label_aware_lgd,none,label-aware LGD,1,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/d8zna3ke,finished,3,234,0.5451263537906137,1.4433014315388264,0.3,73.97032809257507,0.0,0.0023138959259568718,1.0,1.0,0.0
runs/full_sweep_20260627_1504/rte_label_aware_lgd_none_seed2_20260627_151524,rte,label_aware_lgd,none,label-aware LGD,2,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/39ep2p0d,finished,3,234,0.5523465703971119,1.6606989423290486,0.5373134328358209,75.66346979141235,0.0,0.001440500901873127,1.0,1.0,0.0
runs/full_sweep_20260627_1504/rte_paper_lgd_full_seed0_20260627_151034,rte,paper_lgd,full,paper LGD full,0,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/tcrarg7m,finished,3,234,0.5740072202166066,1.3735411743825092,0.21333333333333335,48.02872920036316,0.0,0.0016243077742027047,0.8829994797706604,4.158259391784668,0.0
runs/full_sweep_20260627_1504/rte_paper_lgd_full_seed1_20260627_151314,rte,paper_lgd,full,paper LGD full,1,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/bt8lawew,finished,3,234,0.5703971119133574,0.7662017973751798,0.5102880658436214,47.765535831451416,0.0,0.0017651858329408147,2.1241700649261475,21.862537384033203,0.0
runs/full_sweep_20260627_1504/rte_paper_lgd_full_seed2_20260627_151519,rte,paper_lgd,full,paper LGD full,2,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/qqectom6,finished,3,234,0.592057761732852,1.0216684100429934,0.549800796812749,74.20644974708557,0.0,0.002962900777449968,1.7776581048965454,7.625487327575684,0.0
runs/full_sweep_20260627_1504/rte_paper_lgd_none_seed0_20260627_151004,rte,paper_lgd,none,paper LGD,0,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/uubhyq2u,finished,3,234,0.6173285198555957,1.1731469329944155,0.5391304347826087,77.22037696838379,0.0,0.0026455561216259076,1.0,1.0,0.0
runs/full_sweep_20260627_1504/rte_paper_lgd_none_seed1_20260627_151204,rte,paper_lgd,none,paper LGD,1,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/q1k0xu6w,finished,3,234,0.5848375451263538,1.2069245968484705,0.5228215767634855,75.9879674911499,0.0,0.0020383910176027436,1.0,1.0,0.0
runs/full_sweep_20260627_1504/rte_paper_lgd_none_seed2_20260627_151439,rte,paper_lgd,none,paper LGD,2,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/t5g6s5wr,finished,3,234,0.5379061371841155,1.2364248007213166,0.5675675675675675,47.95322513580322,0.0,0.004030510567216049,1.0,1.0,0.0
runs/full_sweep_20260627_1504/rte_random_none_seed0_20260627_150929,rte,random,none,SGD/random,0,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/4hmxtk5c,finished,0,234,0.6750902527075813,0.8856942283547742,0.697986577181208,38.469462394714355,0.0,0.00040160642570281126,1.0,1.0,0.0
runs/full_sweep_20260627_1504/rte_random_none_seed1_20260627_151158,rte,random,none,SGD/random,1,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/otoi2yyt,finished,0,234,0.6245487364620939,0.9625979537137579,0.6687898089171974,62.76457953453064,0.0,0.00040160642570281126,1.0,1.0,0.0
runs/full_sweep_20260627_1504/rte_random_none_seed2_20260627_151359,rte,random,none,SGD/random,2,https://wandb.ai/nilansa/lgd_neurips2019_bert_repro/runs/d2zmmye5,finished,0,234,0.6606498194945848,0.7845449757489917,0.624,62.034496545791626,0.0,0.00040160642570281126,1.0,1.0,0.0
